Name,Balance,Movement,Empty Space,Perspective
Paris Street Rainy Day - Caillebotte.jpeg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Poppies - Monet.jpeg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
The Ballet Class - Degas.jpeg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Boulevard Montmarte - Pissaro.jpeg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Woman with a Parasol - Monet.jpeg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Women Walking on a Beach - Sorolla.jpeg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Achilles Receiving the Ambassadors of Agamemnon.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Ancient Rome - Panini.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Aqueduct in Ruins - Robert.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Charles Towneley in his sculpture gallery - Zoffany.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Diana and Cupid - Batoni.jpg,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Fantasy view - Panini.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Johann Joachim Winckelmann.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Judgement of Paris - Mengs.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Julie Lebrun as Flora - Le Brun.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Jupiter and Thetis - Ingres.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Madame Raymod de Verninac - David.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Modern Romania - Tattarescu.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Napoleon Crossing the Alps - David.jpg,Highly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Napoleon I on his Imperial Throne - Ingres.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Perseus and Andromeda - Leighton.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Madame Recamier - David.jpg,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Portrait of Madeline - Benoist.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Self-portrait - Benoist.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
The Anger of Achilles - David.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Architects Dream - Cole.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Death of Nelson - West.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Death of Seneca - David.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Death of Socrates - David.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Intervention of the Sabine Woman - David.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Sleep of Endymion - Girodet.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Virgil reading to Augustus - Ingres.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Burial of Atala - Trioson.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Dante and Virgil - Bouguereau.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
L'excommunication de Robert le Pieux - Laurens.jpeg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Leonidas at Thermopylae - David.jpeg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Removed Perspective
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Monsieur Bertin - Inres.jpeg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Princesse de Broglie - Ingres.jpeg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Artist and His Family - West.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Coronation of Napoleon - David.jpeg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Cupid Seller - Vien.jpeg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Damsel and Orlando - West.jpeg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Death of General Wolfe - West.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Death of Leonardo da Vinci - Ingres.jpeg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
The Death of Marat - David.jpeg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
The Explusion of Adam and Eve from Paradise - West.jpeg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Oath of Horatii - David.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
A Sunday on La Grande Jatte.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
A Wheatfield with Cypresses - van Gogh.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Arearea - Gauguin.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
At the Moulin Rouge - Lautrec.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Bathers - Cezanne.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Boy in a Red Vest - Cezanne.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
Breton Girls Dancing - Gauguin.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Cafe Terrace at Night - van Gogh.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Coastal Landscape from Martinique - Gauguin.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Coming and Going - Gauguin.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Day of God - Gauguin.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Evening Calm - Signac.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Harvest at La Crau - van Gogh.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Irises - van Gogh.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Le Chahut - Seurat.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Madame Cezanne - Cezanne.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Models - Seurat.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Mont Sainte-Victorie - Cezanne.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Morning Calm - Signac.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Parade de cirque - Seurat.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Paul Alexis reading to Emile Zola - Cezanne.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Road with Cypress and Star - van Gogh.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Seascape Near Les Saintes - van Gogh.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
Self-portrait in a hat - Gauguin.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Self-portrait with bandaged ear - van gogh.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Spirit of the Dead Watching - Gauguin.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Starry Night over the Rhone - van Gogh.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Still Life with Plaster Cupid - Cezanne.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
The Basket of Apples - Cezanne.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Bather - Cezanne.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Bedroom - van Gogh.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
The Card Players - Cezanne.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Church at Auvers - van Gogh.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Dream - Rosseau.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Mango Trees - Gauguin.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Painter of Sunflowers - Gauguin.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Red Cow - Gauguin.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Red Rock - Cezanne.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Sleeping Gypsy - Rosseau.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
The Starry Night - van Gogh.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Tiger in a Tropical Storm - Rosseau.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Tropical Conversation - Gauguin.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Turning Road at Montgeroult - Cezanne.jpg,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Removed Perspective
Vision after the Sermon - Gauguin.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Wheatfield with Crows - van Gogh.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
When will you marry - Gauguin.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Still Life with Apples - Cezanne.jpeg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
A Burial at Ornans - Courbet.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
A Loge at the Theater des Italiens - Gonzales.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Autum Day - Levitan.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Autumn Bouquet - Repin.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Bar at the Folies-Bergere - Manet.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Barge Haulers on the Volga - Repin.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Corner of a Cafe-Concert - Manet.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Emile Zola - Manet.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Family Portrait - Ostade.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Femme nu Couchee - Courbet.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Golden Autumn - Levitan.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Hawning Apprentice - Mankacsy.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Hunters at Rest - Perov.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
In the Conservatory - Manet.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Ivan the Terrible and His Son Ivan - Repin.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
Jewess with Oranges - Gierymski.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
L'Angelus - Millet.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
La rencontre - Courbet.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Les Demoiselles du bord de la Seine - Courbet.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Morning in a Pine Forest - Shishkin.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Music in the Tuileries Gardens - Manet.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Olympia - Manet.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Ploughing in the Nivernais - Bonheur.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Plum Brandy - Manet.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Portrait of an Unknown Woman - Kramskoi.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Science and Charity - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Sheep in the Highlands - Bonheur.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Taking a Snow Town - Surikov.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Apotheosis of War - Vereschchagin.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Daughters of Edward Darley Boit.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Fifer - Manet.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
The First Mourning - Bouguereau.jpg,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
The Gleaners - Millet.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
The Little Cavaliers - Manet.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Morning of the Streltsy Execution - Surikov.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Painter's Studio - Courbet.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Railway - Manet.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Rooks Have Come Back - Savrasov.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Violoncellist - Courbet.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The Wheat Sifters - Courbet.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Valley of the Loue - Courbet.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Whistler's Mother - Whistler.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Luncheon on the Grass - Manet.jpeg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Silent Monastary - Levitan.jpeg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Potato Eaters - van Gogh.jpeg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Shepherdess - Bouguereau.jpeg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Stone Breakers - Courbet.jpeg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
A goldsmith in his shop - Christus.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Adoration of the Kings - van der Goes.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Adoration of the Magi - Botticelli.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Arnolfini Portrait - van Eyck.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Baptism of Christ - Verrocchio.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Birth of the Virgin - Ghirlandaio.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Calumny of Apelles - Botticelli.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Christ and the Virgin - Campin.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Crucifixion with the Virgin and St. John - van der weyden.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Danae - Correggio.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Death of the Virgin - Mantegna.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
La Primavera (Spring) - Botticelli.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Lamentation of Christ - Mantegna.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Madonna and Child - Crivelli.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Madonna in the Church - van Eyck.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Madonna of the Meadow - Raphael.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Mona Lisa - da Vinci.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Pastoral Concert - Titian.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Pieta - Bellini.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Pieta of Villeneuve les avignon.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Portrait of a Young Girl - Christus.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Portrait of a Young Woman - Botticelli.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Portrait of Eleonora Gonzaga - Titian.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Francesco Maria Della Rovere - Titian.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Pope Julius II - Raphael.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Portrait of Sultan Mehmed II - Bellini.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Saint Luke Painting the Madonna - Gossaert.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Saint Sebastian - Mentegna.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
School of Athens - Raphael.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Self Portrait - Durer.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Sleeping Venus - Giorgione.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Ambassadors - Holbein.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Annunciation - Fra Angelico.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Birth of Venus - Botticelli.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Creation of Adam - Michelangelo.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Crowning wiht Thorns - Titian.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Damned Cast into Hell - Signorelli.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Last Judgement - Michelangelo.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Last Supper - da Vinci.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Sistine Madonna - Raphael.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Tempest - Giorgione.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
The tower of babel - Bruegel.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The virgin and child with saint and donor - david.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Three Philosophers - Giorgione.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Two Witches - Grien.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Boy with a Spinning Top - Chardin.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Charles III Dining Before the Court - Prado.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Cupid and Psyche - West.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Diana after a bath - Boucher.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Diana After the Hunt - Boucher.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Dresden - Bellotto.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Elizabeth Trubetskaya.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Hercules and Omphale.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
La Toilette de Venus - Boucher.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Les Plaisirs du Bal - Watteau.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Luncheon with Ham - Lancret.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Madame Bergeret - Francois.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Madame de Pompadour - Boucher.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Marie Antoinette and Her Children - Le Brun.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Marrigae a la mode - Hogarth.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Mr and Mrs William Hallett - Gainsborough.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Mrs Sarah Siddons - Gainsborough.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Piazza San Marco - Canaletto.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Pierrot - Watteau.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Pilgrimage to Cythera - Watteau.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Portrait of Louis XV - Ranc.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Portrait of Prokofiy Demidov - Levitsky.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Satan Sin and Death - Hogarth.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Self Portrait with Straw Hat - Le Brun.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Soap Bubbles - Chardin.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
The Archers - Reynolds.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Banquet of Cleopatra - Tiepolo.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Bathers - Fragonard.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Blue Boy - Gainsborough.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
