Name,Color Mode,Color Diversity,Color Intensity,Color Harmony,Proximity Contrast,Depth,Value Contrast,Average Value,Lines,Balance,Movement,Empty Space,Perspective,Brushstroke Control,Brushstroke Visibility,Outlines
Lady in the hat - Mashkov.jpg,Expressionistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Landscape near Antwerp - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Landscape Near Chatou - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Landscape with Red Roofs - Vlaminck.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Stark Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Le cafe Maure - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Les Toit de Collioure - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Luxe - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Mountains at Collioure - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Notre Dame - Matisse.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Andre Derain - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Matisse - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Portrait of the Son - Konchalovsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Prades the Village - Miro.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Regent Street - Derain.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Self Portrait - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Ship at La Harve - Braque.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Street Lamp - Marquet.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Blue Nude - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Blue Window - Matisse.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Corn Poppy - Dongen.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Flat Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Dance - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Estaque - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Green Line - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
The Moulade - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Open Window - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Turning Road - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Turkisches Cafe - Macke.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Windmill in Sunlight - Mondrain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Window Opening on Nice - Dufy.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Woman with a Hat - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Zorah on the Terrace - Matisse.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Bougival - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Derain - Vlaminck.jpeg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Posters at Trouville - Dufy.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait with a Cap - Derain.jpeg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Still life with Grapes - Mashov.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Piano Lesson - Matisse.jpeg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Red Mill - Mondrian.jpeg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The River Seine at Chatou - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Tugboat on the Siene - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
A Girl with a Watering Can - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
A Stream Beneath the Poplars - Perry.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,,Deep Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
At the Races in the Countryside - degas.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Autumn Effect at Argenteuil - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Normal Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Boulevard de Capucines - Monet.jpg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Capture Color,Highly Diverse Hue,True Tone,Friction/Tension Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Caprice in Purple and Gold - Whistler.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Cliff Walk at Pourville - Monet.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Highly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Dal du moulin de la Galette - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Girl with Peaches - Serov.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Grainstack - Monet.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Haystacks - Monet.jpg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,,Deep Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hoarfrost - Pissarro.jpg,Capture Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hunting Butterflies - Morisot.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
In the Loge - Cassatt.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Highly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
La Gare Saint-Lazare - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
La Loge - Renoir.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
La Promenade - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Les Bain a la Grenoullere - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Little Girl in a Blue Armchair - Cassatt.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Luncheon on the Grass - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madame Georges Charpentier - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Man at his Bath - Caillebotte.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Poplars - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Study - Renior.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Basin at Argenteuil - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Bellelli Family - Degas.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Childs Bath - Cassatt.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Cradle - Morisot.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Girl Covered by the Sun - Serov.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Grands Boulevard - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Harbor at Lorient - Morisot.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Swing - Renoir.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Water Lilies - Monet.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,,Shallow Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Two Sisters - Renoir.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Deep Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Visit to a Museum - Degas.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Woman with the Pearl Necklace - Cassatt.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Women in the Garden - Monet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Floor Scrappers - Caillebotte.jpeg,,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Low Contrast,Dark Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
