Name,Depth,Contrast,Value,Lines
L'excommunication de Robert le Pieux - Laurens.jpeg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Leonidas at Thermopylae - David.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Portrait of Monsieur Bertin - Inres.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Princesse de Broglie - Ingres.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Artist and His Family - West.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Coronation of Napoleon - David.jpeg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Cupid Seller - Vien.jpeg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Damsel and Orlando - West.jpeg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Death of General Wolfe - West.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Death of Leonardo da Vinci - Ingres.jpeg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Death of Marat - David.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Explusion of Adam and Eve from Paradise - West.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Oath of Horatii - David.jpeg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
A Sunday on La Grande Jatte.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
A Wheatfield with Cypresses - van Gogh.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Arearea - Gauguin.jpg,Normal/Regular Depth,Low Contrast,Balanced Value,Distinct Lines
At the Moulin Rouge - Lautrec.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Bathers - Cezanne.jpg,Shallow Depth,Low Contrast,Balanced Value,Intermediate Lines
Boy in a Red Vest - Cezanne.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Breton Girls Dancing - Gauguin.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Cafe Terrace at Night - van Gogh.jpg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
Coastal Landscape from Martinique - Gauguin.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Coming and Going - Gauguin.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Day of God - Gauguin.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Evening Calm - Signac.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Harvest at La Crau - van Gogh.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Irises - van Gogh.jpg,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines
Le Chahut - Seurat.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Madame Cezanne - Cezanne.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Models - Seurat.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Mont Sainte-Victorie - Cezanne.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Morning Calm - Signac.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Parade de cirque - Seurat.jpg,Shallow Depth,Low Contrast,Dark Value,Distinct Lines
Paul Alexis reading to Emile Zola - Cezanne.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Road with Cypress and Star - van Gogh.jpg,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines
Seascape Near Les Saintes - van Gogh.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Self-portrait in a hat - Gauguin.jpg,Normal/Regular Depth,Normal Contrast,Dark Value,Distinct Lines
Self-portrait with bandaged ear - van gogh.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Spirit of the Dead Watching - Gauguin.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Starry Night over the Rhone - van Gogh.jpg,Deep Depth,High Contrast,Dark Value,Intermediate Lines
Still Life with Plaster Cupid - Cezanne.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Basket of Apples - Cezanne.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Bather - Cezanne.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Bedroom - van Gogh.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Card Players - Cezanne.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Church at Auvers - van Gogh.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Dream - Rosseau.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Mango Trees - Gauguin.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Painter of Sunflowers - Gauguin.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Red Cow - Gauguin.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines
The Red Rock - Cezanne.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
The Sleeping Gypsy - Rosseau.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Starry Night - van Gogh.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Tiger in a Tropical Storm - Rosseau.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Tropical Conversation - Gauguin.jpg,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines
Turning Road at Montgeroult - Cezanne.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
Vision after the Sermon - Gauguin.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Wheatfield with Crows - van Gogh.jpg,Shallow Depth,Low Contrast,Dark Value,Indistinct Lines
When will you marry - Gauguin.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Still Life with Apples - Cezanne.jpeg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
A Burial at Ornans - Courbet.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
A Loge at the Theater des Italiens - Gonzales.jpg,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines
Autum Day - Levitan.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Autumn Bouquet - Repin.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Bar at the Folies-Bergere - Manet.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Barge Haulers on the Volga - Repin.jpg,Deep Depth,High Contrast,Light Value,Distinct Lines
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Normal/Regular Depth,High Contrast,Dark Value,Indistinct Lines
Corner of a Cafe-Concert - Manet.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Emile Zola - Manet.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Family Portrait - Ostade.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Femme nu Couchee - Courbet.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Golden Autumn - Levitan.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Hawning Apprentice - Mankacsy.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Hunters at Rest - Perov.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
In the Conservatory - Manet.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Ivan the Terrible and His Son Ivan - Repin.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Jewess with Oranges - Gierymski.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
L'Angelus - Millet.jpg,Deep Depth,Low Contrast,Dark Value,Distinct Lines
La rencontre - Courbet.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Les Demoiselles du bord de la Seine - Courbet.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Morning in a Pine Forest - Shishkin.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Music in the Tuileries Gardens - Manet.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Olympia - Manet.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Ploughing in the Nivernais - Bonheur.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Plum Brandy - Manet.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Portrait of an Unknown Woman - Kramskoi.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Science and Charity - Picasso.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Sheep in the Highlands - Bonheur.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Taking a Snow Town - Surikov.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Apotheosis of War - Vereschchagin.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Daughters of Edward Darley Boit.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Fifer - Manet.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The First Mourning - Bouguereau.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Gleaners - Millet.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Little Cavaliers - Manet.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Morning of the Streltsy Execution - Surikov.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Painter's Studio - Courbet.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Railway - Manet.jpg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
The Rooks Have Come Back - Savrasov.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Violoncellist - Courbet.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
The Wheat Sifters - Courbet.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Valley of the Loue - Courbet.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Whistler's Mother - Whistler.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Luncheon on the Grass - Manet.jpeg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Silent Monastary - Levitan.jpeg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Potato Eaters - van Gogh.jpeg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Shepherdess - Bouguereau.jpeg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
The Stone Breakers - Courbet.jpeg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
A goldsmith in his shop - Christus.jpg,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines
Adoration of the Kings - van der Goes.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Adoration of the Magi - Botticelli.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Arnolfini Portrait - van Eyck.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Baptism of Christ - Verrocchio.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Birth of the Virgin - Ghirlandaio.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Calumny of Apelles - Botticelli.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Christ and the Virgin - Campin.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Crucifixion with the Virgin and St. John - van der weyden.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Danae - Correggio.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Death of the Virgin - Mantegna.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
La Primavera (Spring) - Botticelli.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Lamentation of Christ - Mantegna.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Madonna and Child - Crivelli.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Madonna in the Church - van Eyck.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Madonna of the Meadow - Raphael.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Mona Lisa - da Vinci.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Pastoral Concert - Titian.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Pieta - Bellini.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Pieta of Villeneuve les avignon.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Portrait of a Young Girl - Christus.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Portrait of a Young Woman - Botticelli.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Portrait of Eleonora Gonzaga - Titian.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Francesco Maria Della Rovere - Titian.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Portrait of Pope Julius II - Raphael.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Sultan Mehmed II - Bellini.jpg,Flat Depth,High Contrast,Balanced Value,Distinct Lines
Saint Luke Painting the Madonna - Gossaert.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Saint Sebastian - Mentegna.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
School of Athens - Raphael.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Self Portrait - Durer.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Sleeping Venus - Giorgione.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Ambassadors - Holbein.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Annunciation - Fra Angelico.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Birth of Venus - Botticelli.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
The Creation of Adam - Michelangelo.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Crowning wiht Thorns - Titian.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
The Damned Cast into Hell - Signorelli.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Last Judgement - Michelangelo.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Last Supper - da Vinci.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Sistine Madonna - Raphael.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Tempest - Giorgione.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The tower of babel - Bruegel.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The virgin and child with saint and donor - david.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Three Philosophers - Giorgione.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Two Witches - Grien.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Boy with a Spinning Top - Chardin.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Charles III Dining Before the Court - Prado.jpg,Deep Depth,High Contrast,Light Value,Intermediate Lines
Cupid and Psyche - West.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Diana after a bath - Boucher.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Diana After the Hunt - Boucher.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Dresden - Bellotto.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Elizabeth Trubetskaya.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
Hercules and Omphale.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
La Toilette de Venus - Boucher.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Les Plaisirs du Bal - Watteau.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Luncheon with Ham - Lancret.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Madame Bergeret - Francois.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Madame de Pompadour - Boucher.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Marie Antoinette and Her Children - Le Brun.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Marrigae a la mode - Hogarth.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Mr and Mrs William Hallett - Gainsborough.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Mrs Sarah Siddons - Gainsborough.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Piazza San Marco - Canaletto.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Pierrot - Watteau.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Pilgrimage to Cythera - Watteau.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Portrait of Louis XV - Ranc.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Prokofiy Demidov - Levitsky.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Satan Sin and Death - Hogarth.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Self Portrait with Straw Hat - Le Brun.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Soap Bubbles - Chardin.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Archers - Reynolds.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Banquet of Cleopatra - Tiepolo.jpg,Normal/Regular Depth,High Contrast,Light Value,Distinct Lines
The Bathers - Fragonard.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Blue Boy - Gainsborough.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
The Declaration of Love - de Troy.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Entrance to the Grand Canal Venice - Canaletto.jpg,Deep Depth,High Contrast,Light Value,Distinct Lines
The Fountain of Love - Fragonard.jpg,Normal/Regular Depth,High Contrast,Dark Value,Intermediate Lines
The Gate of Calais - Hogarth.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Graham Children - Hogarth.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Honorable Mrs Graham.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Ladies Waldegrave - Reynolds.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Lock - Fragonard.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Prearranged Flight - Fragonard.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Progress of Love The Pursuit - Fragonard.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
The Progress of Love.jpg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
The Scale of Love- Watteau.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Stolen Kiss - Fragonard.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Toilet of Venus Boucher.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Triumph of Venice - Pompeo.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Triumph of Venus - Boucher.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Village Bride - Greuze.jpg,Shallow Depth,High Contrast,Light Value,Distinct Lines
The Swing - Fragonard.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Alyonushka.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Charles IV of Spain and His Family - Goyta.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Christ on the Sea of Galilee - Delacroix.jpg,Deep Depth,Normal Contrast,Dark Value,Intermediate Lines
Dido building Carthage - Turner.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Entry of the Crusaders in Constantinople - Delacroix.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Fishermen at Sea - Turner.jpg,Deep Depth,High Contrast,Dark Value,Intermediate Lines
Hylas and the Nymphs - Waterhouse.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Jewish wedding in Morocco - Delacroix.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Knight at the Crossroads - Vasnetsov.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
La maja desnuda - Goya.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Lady Lilith - Rossetti.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Medea - Delacroix.jpg,Normal/Regular Depth,Normal Contrast,Dark Value,Distinct Lines
Modern Rome - Turner.jpg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
Saturn Devouring one of his Sons - Lucientes.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Self-portrait with Dr Arrieta - Goya.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Snow Storm - Turner.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Abbey in the Oakwood - Friedrich.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
The Barque of Dante - Delacroix.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
The Battle of Trafalgar - Turner.jpg,Deep Depth,High Contrast,Light Value,Intermediate Lines
The Black Duchess - Goya.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Burning of the Houses of Parliament - Turner.jpg,Deep Depth,Normal Contrast,Light Value,Indistinct Lines
The Charging Chasseur - Gericault.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Clothed Maja - Goya.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Colossus - Goya.jpg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
The Death of Sardanapalus - Delacroix.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Desperate Man - Courbet.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Family of Infante Don Luis - Goya.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Fighting Temeraire - Turner.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Hay Wain - Constable.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Kiss - Hayez.jpg,Normal/Regular Depth,High Contrast,Light Value,Distinct Lines
The Lonely Tree - Friedrich.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Massacre at Chios - Delacroix.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Monk by the Sea - Friedrich.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Nightmare - Fuseli.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
The Ninth Wave - Aivazovsky.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Sea of Ice - Friedrich.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Second of May 1808 - Goya.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Shipwreck - Turner.jpg,Deep Depth,High Contrast,Dark Value,Intermediate Lines
The Slave Ship - Turner.jpg,Deep Depth,Normal Contrast,Light Value,Indistinct Lines
The Third of May 1808 - Goya.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Watson and the Shark - Copley.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Witches' Flight - Goya.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Witches' Sabbath - Goya.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Wreckers Coast of Northumberland - Turner.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Chalk Cliffs on Rugen - Friedrich.jpeg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
Lady Libert Leading the People - Delocroix.jpeg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Raft of the Medusa - Geriacault.jpeg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Wanderer above the sea of fog - Friedrich.jpeg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
A dream caused by the flight of a bee - Dal.jpg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Battle of Fishes - Masson.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Christ of St John of the Cross - Dali.jpg,Deep Depth,High Contrast,Dark Value,Distinct Lines
Elephants - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Europe after the Rain II - Ernst.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Galatea of the Spheres - Dali.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Girl with Death Mask - Kahlo.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Golconda - Magritte.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Grandma Moorheads aromatic cuisine - Carrington.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Hand with Reflecting Mirror - Escher.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Harlequin's Carnival - Miro.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Landscape - Breton.jpg,Flat Depth,High Contrast,Dark Value,Distinct Lines
Mama Papa is Wounded - Tanguy.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Man in a Bowler Hat - Magritte.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Marxism will heal the sick - Kahlo.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Melting Watch - Dali.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Metamorphosis of Narcissus - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Not to be Reproduced - Magritte.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Persistence of Memory - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
