Name,Abstraction Level
The Burning of the Houses of Parliament - Turner.jpg,Organically Abstract
The Charging Chasseur - Gericault.jpg,Naturalistic
The Clothed Maja - Goya.jpg,Naturalistic
The Colossus - Goya.jpg,Naturalistic
The Death of Sardanapalus - Delacroix.jpg,Naturalistic
The Desperate Man - Courbet.jpg,Naturalistic
The Family of Infante Don Luis - Goya.jpg,Naturalistic
The Fighting Temeraire - Turner.jpg,Naturalistic
The Hay Wain - Constable.jpg,Naturalistic
The Kiss - Hayez.jpg,Naturalistic
The Lonely Tree - Friedrich.jpg,Naturalistic
The Massacre at Chios - Delacroix.jpg,Naturalistic
The Monk by the Sea - Friedrich.jpg,Naturalistic
The Nightmare - Fuseli.jpg,Naturalistic
The Ninth Wave - Aivazovsky.jpg,Naturalistic
The Sea of Ice - Friedrich.jpg,Naturalistic
The Second of May 1808 - Goya.jpg,Naturalistic
The Shipwreck - Turner.jpg,Naturalistic
The Slave Ship - Turner.jpg,Organically Abstract
The Third of May 1808 - Goya.jpg,Naturalistic
Watson and the Shark - Copley.jpg,Naturalistic
Witches' Flight - Goya.jpg,Naturalistic
Witches' Sabbath - Goya.jpg,Naturalistic
Wreckers Coast of Northumberland - Turner.jpg,Organically Abstract
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Naturalistic
Chalk Cliffs on Rugen - Friedrich.jpeg,Naturalistic
Lady Libert Leading the People - Delocroix.jpeg,Naturalistic
The Raft of the Medusa - Geriacault.jpeg,Naturalistic
Wanderer above the sea of fog - Friedrich.jpeg,Naturalistic
A dream caused by the flight of a bee - Dal.jpg,Semi-Abstract
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Semi-Abstract
Battle of Fishes - Masson.jpg,Wholly Abstract
Christ of St John of the Cross - Dali.jpg,Semi-Abstract
Elephants - Dali.jpg,Semi-Abstract
Europe after the Rain II - Ernst.jpg,Semi-Abstract
Galatea of the Spheres - Dali.jpg,Semi-Abstract
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Semi-Abstract
Girl with Death Mask - Kahlo.jpg,Semi-Abstract
Golconda - Magritte.jpg,Semi-Abstract
Grandma Moorheads aromatic cuisine - Carrington.jpg,Semi-Abstract
Hand with Reflecting Mirror - Escher.jpg,Naturalistic
Harlequin's Carnival - Miro.jpg,Organically Abstract
Landscape - Breton.jpg,Organically Abstract
Mama Papa is Wounded - Tanguy.jpg,Organically Abstract
Man in a Bowler Hat - Magritte.jpg,Naturalistic
Marxism will heal the sick - Kahlo.jpg,Semi-Abstract
Melting Watch - Dali.jpg,Semi-Abstract
Metamorphosis of Narcissus - Dali.jpg,Organically Abstract
Not to be Reproduced - Magritte.jpg,Naturalistic
Persistence of Memory - Dali.jpg,Semi-Abstract
Philosopher's Lamp - Magritte.jpg,Semi-Abstract
Self Portrait - Carrington.jpg,Semi-Abstract
Swans Reflecting Elephants - Dali.jpg,Organically Abstract
The Anti-pope - Ernst.jpg,Semi-Abstract
The Barbarians - Ernst.jpg,Organically Abstract
The Burning Giraffe - Dali.jpg,Semi-Abstract
The Castle of the Pyrenees - Magritte.jpg,Semi-Abstract
The Disintegration of the Persistence of Memory - Dali.jpg,Organically Abstract
The Elephant Celebes - Ernst.jpg,Organically Abstract
The Giantess - Carrington.jpg,Semi-Abstract
The Great Masturbator - Dali.jpg,Organically Abstract
The Lovers - Magritte.jpg,Naturalistic
The Menaced Assassin - Magritte.jpg,Semi-Abstract
The Sacrament of the Last Supper - Dali.jpg,Semi-Abstract
The Son of Man - Magritte.jpg,Naturalistic
The Temptation of St Anthony - Dali.jpg,Semi-Abstract
The Treachery of Images - Magritte.jpg,Naturalistic
The Triumph of Surrealism - Ernst.jpg,Organically Abstract
Tilled Field - Miro.jpg,Organically Abstract
Time Transfixed - Magritte.jpg,Naturalistic
Tuna Fishing - Dali.jpg,Organically Abstract
White Crucifixion - Chagall.jpg,Organically Abstract
Without Hope - Kahlo.jpg,Semi-Abstract
Woman Old Man and Flower - Ernst.jpg,Organically Abstract
Portrait of Max Ernst - Carrington.jpeg,Semi-Abstract
The Broken Column - Kahlo.jpeg,Semi-Abstract
The Hallucinogenic Toreador - Dali.jpeg,Organically Abstract
The Robing of the Bride - Ernst.jpeg,Semi-Abstract
Random0.jpg,Wholly Abstract
Random1.jpg,Wholly Abstract
Random10.jpg,Wholly Abstract
Random11.jpg,Wholly Abstract
Random12.jpg,Wholly Abstract
Random13.jpg,Wholly Abstract
Random14.jpg,Wholly Abstract
Random15.jpg,Wholly Abstract
Random16.jpg,Wholly Abstract
Random17.jpg,Wholly Abstract
Random18.jpg,Wholly Abstract
Random19.jpg,Wholly Abstract
Random2.jpg,Wholly Abstract
Random20.jpg,Wholly Abstract
Random21.jpg,Wholly Abstract
Random22.jpg,Wholly Abstract
Random23.jpg,Wholly Abstract
Random24.jpg,Wholly Abstract
Random25.jpg,Wholly Abstract
Random26.jpg,Wholly Abstract
Random27.jpg,Wholly Abstract
Random28.jpg,Wholly Abstract
Random29.jpg,Wholly Abstract
Random3.jpg,Wholly Abstract
Random30.jpg,Wholly Abstract
Random31.jpg,Wholly Abstract
Random32.jpg,Wholly Abstract
Random33.jpg,Wholly Abstract
Random34.jpg,Wholly Abstract
Random35.jpg,Wholly Abstract
Random36.jpg,Wholly Abstract
Random37.jpg,Wholly Abstract
Random38.jpg,Wholly Abstract
Random39.jpg,Wholly Abstract
Random4.jpg,Wholly Abstract
Random40.jpg,Wholly Abstract
Random41.jpg,Wholly Abstract
Random42.jpg,Wholly Abstract
Random43.jpg,Wholly Abstract
Random44.jpg,Wholly Abstract
Random45.jpg,Wholly Abstract
Random46.jpg,Wholly Abstract
Random47.jpg,Wholly Abstract
Random48.jpg,Wholly Abstract
Random5.jpg,Wholly Abstract
Random6.jpg,Wholly Abstract
Random7.jpg,Wholly Abstract
Random8.jpg,Wholly Abstract
Random9.jpg,Wholly Abstract
RandomShapes0.jpg,Wholly Abstract
RandomShapes1.jpg,Wholly Abstract
RandomShapes10.jpg,Wholly Abstract
RandomShapes11.jpg,Wholly Abstract
RandomShapes12.jpg,Wholly Abstract
RandomShapes13.jpg,Wholly Abstract
RandomShapes14.jpg,Wholly Abstract
RandomShapes15.jpg,Wholly Abstract
RandomShapes16.jpg,Wholly Abstract
RandomShapes17.jpg,Wholly Abstract
RandomShapes18.jpg,Wholly Abstract
RandomShapes19.jpg,Wholly Abstract
RandomShapes2.jpg,Wholly Abstract
RandomShapes20.jpg,Wholly Abstract
RandomShapes21.jpg,Wholly Abstract
RandomShapes22.jpg,Wholly Abstract
RandomShapes23.jpg,Wholly Abstract
RandomShapes24.jpg,Wholly Abstract
RandomShapes25.jpg,Wholly Abstract
RandomShapes26.jpg,Wholly Abstract
RandomShapes27.jpg,Wholly Abstract
RandomShapes28.jpg,Wholly Abstract
RandomShapes29.jpg,Wholly Abstract
RandomShapes3.jpg,Wholly Abstract
RandomShapes30.jpg,Wholly Abstract
RandomShapes31.jpg,Wholly Abstract
RandomShapes32.jpg,Wholly Abstract
RandomShapes33.jpg,Wholly Abstract
RandomShapes34.jpg,Wholly Abstract
RandomShapes35.jpg,Wholly Abstract
RandomShapes36.jpg,Wholly Abstract
RandomShapes37.jpg,Wholly Abstract
RandomShapes38.jpg,Wholly Abstract
RandomShapes39.jpg,Wholly Abstract
RandomShapes4.jpg,Wholly Abstract
RandomShapes40.jpg,Wholly Abstract
RandomShapes41.jpg,Wholly Abstract
RandomShapes42.jpg,Wholly Abstract
RandomShapes43.jpg,Wholly Abstract
RandomShapes44.jpg,Wholly Abstract
RandomShapes45.jpg,Wholly Abstract
RandomShapes46.jpg,Wholly Abstract
RandomShapes47.jpg,Wholly Abstract
RandomShapes48.jpg,Wholly Abstract
RandomShapes5.jpg,Wholly Abstract
RandomShapes6.jpg,Wholly Abstract
RandomShapes7.jpg,Wholly Abstract
RandomShapes8.jpg,Wholly Abstract
RandomShapes9.jpg,Wholly Abstract
uniform0.jpg,Wholly Abstract
uniform1.jpg,Wholly Abstract
uniform10.jpg,Wholly Abstract
uniform11.jpg,Wholly Abstract
uniform12.jpg,Wholly Abstract
uniform13.jpg,Wholly Abstract
uniform14.jpg,Wholly Abstract
uniform15.jpg,Wholly Abstract
uniform16.jpg,Wholly Abstract
uniform17.jpg,Wholly Abstract
uniform18.jpg,Wholly Abstract
uniform19.jpg,Wholly Abstract
uniform2.jpg,Wholly Abstract
uniform20.jpg,Wholly Abstract
uniform21.jpg,Wholly Abstract
uniform22.jpg,Wholly Abstract
uniform23.jpg,Wholly Abstract
uniform24.jpg,Wholly Abstract
uniform25.jpg,Wholly Abstract
uniform26.jpg,Wholly Abstract
uniform27.jpg,Wholly Abstract
uniform28.jpg,Wholly Abstract
uniform29.jpg,Wholly Abstract
uniform3.jpg,Wholly Abstract
uniform30.jpg,Wholly Abstract
uniform31.jpg,Wholly Abstract
uniform32.jpg,Wholly Abstract
uniform33.jpg,Wholly Abstract
uniform34.jpg,Wholly Abstract
uniform35.jpg,Wholly Abstract
uniform37.jpg,Wholly Abstract
uniform38.jpg,Wholly Abstract
uniform39.jpg,Wholly Abstract
uniform4.jpg,Wholly Abstract
uniform40.jpg,Wholly Abstract
uniform41.jpg,Wholly Abstract
uniform42.jpg,Wholly Abstract
uniform43.jpg,Wholly Abstract
uniform44.jpg,Wholly Abstract
uniform45.jpg,Wholly Abstract
uniform46.jpg,Wholly Abstract
uniform47.jpg,Wholly Abstract
uniform48.jpg,Wholly Abstract
uniform49.jpg,Wholly Abstract
uniform5.jpg,Wholly Abstract
uniform6.jpg,Wholly Abstract
uniform7.jpg,Wholly Abstract
uniform8.jpg,Wholly Abstract
uniform9.jpg,Wholly Abstract
